Extension,Category,Description,HexSignature,Offset,RiskLevel
exe,Executable,Windows Executable Program,4D 5A,0,High
dll,Executable,Windows Dynamic Link Library,4D 5A,0,High
sys,System,Windows System Driver,4D 5A,0,High
elf,Executable,Linux Executable and Linkable Format,7F 45 4C 46,0,High
so,Executable,Linux Shared Object Library,7F 45 4C 46,0,High
bin,Executable,Generic Binary Executable / Firmware,53 50 49 1D,0,Medium
msi,Installer,Windows Installer Package,D0 CF 11 E0 A1 B1 1A E1,0,High
cab,Archive,Windows Cabinet File,4D 53 43 46,0,Medium
bat,Script,Windows Batch File,40 65 63 68 6F,0,High
sh,Script,Shell Script,23 21 2F 62 69 6E,0,High
dmg,Disk Image,macOS Apple Disk Image,78 61 72 21,0,Medium
jpg,Image,JPEG Compressed Image,FF D8 FF E0,0,Low
jpeg,Image,JPEG Compressed Image,FF D8 FF E1,0,Low
png,Image,Portable Network Graphics,89 50 4E 47 0D 0A 1A 0A,0,Low
gif,Image,Graphics Interchange Format (GIF87a),47 49 46 38 37 61,0,Low
gif,Image,Graphics Interchange Format (GIF88a),47 49 46 38 39 61,0,Low
bmp,Image,BMP Bitmap Image,42 4D,0,Low
tiff,Image,TIFF Image File (Little Endian),49 49 2A 00,0,Low
tiff,Image,TIFF Image File (Big Endian),4D 4D 00 2A,0,Low
ico,Image,Windows Icon File,00 00 01 00,0,Low
webp,Image,Google WebP Image,52 49 46 46,0,Low
psd,Image,Adobe Photoshop Document,38 42 50 53,0,Low
svg,Image,Scalable Vector Graphics,3C 73 76 67,0,Low
cr2,Image,Canon Raw Version 2 Image,49 49 2A 00 10 00 00 00,0,Low
heic,Image,High Efficiency Image Coding,00 00 00 18 66 74 79 70 68 65 69 63,0,Low
mp3,Audio,MPEG-3 Audio File,49 44 33,0,Low
mp4,Video,MPEG-4 Video File,00 00 00 18 66 74 79 70 69 73 6F 6D,0,Low
avi,Video,Audio Video Interleave File,52 49 46 46,0,Low
mkv,Video,Matroska Video File,1A 45 DF A3,0,Low
mov,Video,Apple QuickTime Movie,00 00 00 14 66 74 79 70 71 74 20 20,0,Low
wav,Audio,Waveform Audio File,52 49 46 46,0,Low
flac,Audio,Free Lossless Audio Codec,66 4C 61 43,0,Low
ogg,Audio/Video,Ogg Vorbis Compressed Media,4F 67 67 53,0,Low
webm,Video,WebM Video File,1A 45 DF A3,0,Low
aac,Audio,Advanced Audio Coding,FF F1,0,Low
pdf,Document,Adobe Portable Document Format,25 50 44 46,0,Low
doc,Document,Microsoft Word Document (Legacy),D0 CF 11 E0 A1 B1 1A E1,0,Medium
xls,Document,Microsoft Excel Spreadsheet (Legacy),D0 CF 11 E0 A1 B1 1A E1,0,Medium
ppt,Document,Microsoft PowerPoint Presentation (Legacy),D0 CF 11 E0 A1 B1 1A E1,0,Medium
docx,Document,Microsoft Word Open XML Document,50 4B 03 04,0,Medium
xlsx,Document,Microsoft Excel Open XML Spreadsheet,50 4B 03 04,0,Medium
pptx,Document,Microsoft PowerPoint Open XML Presentation,50 4B 03 04,0,Medium
odt,Document,OpenDocument Text Document,50 4B 03 04,0,Low
ods,Document,OpenDocument Spreadsheet,50 4B 03 04,0,Low
rtf,Document,Rich Text Format File,7B 5C 72 74 66,0,Low
epub,Document,Electronic Publication,50 4B 03 04 0A 00 02 00,0,Low
zip,Archive,ZIP Archive File,50 4B 03 04,0,Medium
rar,Archive,RAR Archive File (v4.x),52 61 72 21 1A 07 00,0,Medium
rar,Archive,RAR Archive File (v5.x),52 61 72 21 1A 07 01 00,0,Medium
7z,Archive,7-Zip Compressed Archive,37 7A BC AF 27 1C,0,Medium
tar,Archive,Tape Archive File,75 73 74 61 72,257,Low
gz,Archive,GZIP Compressed File,1F 8B,0,Low
bz2,Archive,Bzip2 Compressed File,42 5A 68,0,Low
xz,Archive,XZ Compressed Archive,FD 37 7A 58 5A 00,0,Low
z,Archive,LZH Archive File,1F 9D,0,Low
iso,Disk Image,ISO-9660 CD Disc Image,43 44 30 30 31,32769,Medium
html,Web,HTML Document,3C 21 44 4F 43,0,Low
xml,Data,XML Document,3C 3F 78 6D 6C,0,Low
json,Data,JSON Text File,7B 22,0,Low
class,Executable,Java Bytecode Class File,CA FE BA BE,0,High
jar,Archive,Java Archive,50 4B 03 04,0,High
pyc,Executable,Python Compiled Code,03 F3 0D 0A,0,Medium
sqlite,Database,SQLite Database File,53 51 4C 69 74 65 20 66 6F 72 6D 61 74 20 33 00,0,Medium
pcap,Network,Packet Capture File,D4 C3 B2 A1,0,Medium
pcapng,Network,PCAP Next Generation Capture File,0A 0D 0D 0A,0,Medium
p7b,Security,PKCS#7 Certificate,2D 2D 2D 2D 2D 42 45 47,0,Low
