⚠ | WARNING SIGN | Count: 65 | Files: app.py, core\validator.py, modules\universal_scan_module.py, root.py, services\email_service.py | https://cdn-icons-png.flaticon.com/512/8213/8213126.png
🟢 | LARGE GREEN CIRCLE | Count: 45 | Files: app.py, modules\device_security_module.py, services\device_security_service.py | https://cdn-icons-png.flaticon.com/512/10037/10037255.png
🛡 | SHIELD | Count: 32 | Files: README.md, app.py, config\settings.py, config\theme.py, root.py 
🔴 | LARGE RED CIRCLE | Count: 30 | Files: app.py, modules\device_security_module.py, services\device_security_service.py
● | BLACK CIRCLE | Count: 20 | Files: app.py
📊 | BAR CHART | Count: 18 | Files: README.md, app.py, config\menu.py, core\navigation.py, services\email_support_service.py
✅ | WHITE HEAVY CHECK MARK | Count: 18 | Files: README.md, app.py, services\email_service.py
🌐 | GLOBE WITH MERIDIANS | Count: 17 | Files: README.md, app.py, config\menu.py, core\navigation.py, services\phone_service.py
📄 | PAGE FACING UP | Count: 15 | Files: README.md, app.py, config\menu.py, services\email_support_service.py
🔍 | LEFT-POINTING MAGNIFYING GLASS | Count: 13 | Files: app.py
✔ | HEAVY CHECK MARK | Count: 13 | Files: app.py, root.py, tests\tests_root.py
⏳ | HOURGLASS WITH FLOWING SAND | Count: 12 | Files: README.md
🌍 | EARTH GLOBE EUROPE-AFRICA | Count: 11 | Files: README.md, app.py, config\menu.py, core\navigation.py
📧 | E-MAIL SYMBOL | Count: 11 | Files: README.md, app.py, config\menu.py, core\navigation.py
🔗 | LINK SYMBOL | Count: 10 | Files: README.md, app.py, config\menu.py
⚙ | GEAR | Count: 10 | Files: app.py, config\menu.py, core\navigation.py, services\email_support_service.py
🖥 | DESKTOP COMPUTER | Count: 8 | Files: README.md, app.py, config\menu.py, core\navigation.py
🤖 | ROBOT FACE | Count: 8 | Files: README.md, app.py, modules\ai_assistant.py
💬 | SPEECH BALLOON | Count: 8 | Files: app.py, services\email_support_service.py
💡 | ELECTRIC LIGHT BULB | Count: 7 | Files: app.py
⚡ | HIGH VOLTAGE SIGN | Count: 7 | Files: app.py
🇧 | REGIONAL INDICATOR SYMBOL LETTER B | Count: 7 | Files: app.py, core\validator.py, modules\ai_summary_module.py, services\phone_service.py
🇳 | REGIONAL INDICATOR SYMBOL LETTER N | Count: 7 | Files: app.py, core\validator.py, services\phone_service.py
✘ | HEAVY BALLOT X | Count: 7 | Files: root.py
🔳 | WHITE SQUARE BUTTON | Count: 6 | Files: app.py, core\navigation.py
📱 | MOBILE PHONE | Count: 6 | Files: README.md, app.py, config\menu.py
👤 | BUST IN SILHOUETTE | Count: 6 | Files: app.py, services\email_support_service.py
🚀 | ROCKET | Count: 6 | Files: README.md, app.py, config\menu.py
🎯 | DIRECT HIT | Count: 6 | Files: README.md, app.py
